,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,-2.875653617956459,0.24904394686236206
1,0.1,-0.18530664076508607,0.004765650807559223,-0.10979152584379437,0.0028235797251537046,-6.5297562025513205,0.2747428551942487
2,0.2,-0.5083277652155846,0.008670135787639801,-0.30117690732160945,0.005136931053672266,-9.907403602252352,0.2730349364321898
3,0.3,-0.9794808207777077,0.01220708328803382,-0.5803283325622627,0.0072325216989634795,-13.663564420937615,0.32618940687223336
4,0.4,-1.6186658129599056,0.015615141603561375,-0.9590362693010278,0.009251747351544092,-18.284886905912714,0.30312974730068576
5,0.5,-2.4589835396190134,0.01909609351838746,-1.456912465332502,0.011314161415819982,-24.019566374943544,0.3587053829704475
6,0.6,-3.553393283803377,0.022873860694707367,-2.1053345359945097,0.013552434263777799,-30.398466808904246,0.4249893636720729
7,0.7,-4.978665766951369,0.027138180582933647,-2.949788032220615,0.016078982612403488,-39.584171980061114,0.64277002879857
8,0.8,-6.826131191698499,0.03184321628344119,-4.044384788651902,0.018866648756344386,-52.91613372017765,0.6310146168488961
9,0.9,-9.182124592068865,0.03677484545504835,-5.440277074198682,0.021788568280712198,-64.36175350555484,0.6586499727621893
10,1.0,-12.117625791346219,0.042302612507194144,-7.179519415726642,0.02506369094581686,-80.51815178691385,0.8367284332214641
