,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,1.034235376228278e+19,1.0465156220166965e+19
1,0.05,4.350106685505465,0.09805105884775216,2.5773757951308256,0.058093845514912965,91424.26359966649,2617.553059902734
2,0.1,8.074270881982656,0.11736813819082713,4.783889646636018,0.0695389378611201,8567.891093992925,210.26964513214074
3,0.15,10.831459289659122,0.12561534964927643,6.417484217601098,0.07442529231793336,2129.6119022911894,43.11528824392416
4,0.2,13.016694803444903,0.13049244539765556,7.7122049054081625,0.07731490157149291,742.4317661722379,23.02084065094745
5,0.25,14.727248796914946,0.1335784757410528,8.725683603235037,0.07914333027109552,321.3264367086166,8.319196712801624
6,0.3,16.017741416548372,0.13576903619974817,9.490281964171945,0.08044120591235834,144.82706962720138,4.125078771578584
7,0.35,16.886916839860532,0.13736336298731908,10.005255931415475,0.08138582165833665,57.016513314368204,2.6551299936454567
8,0.4,17.35069797377767,0.13852319816816108,10.280039598854993,0.08207300736148361,16.927442370818266,1.195236358499144
9,0.45,17.417318173961515,0.13939965413896044,10.319511111586563,0.08259229494865084,-6.355553820740745,0.9343498915038795
10,0.5,17.087001355366837,0.14008595741108001,10.123803136008116,0.08299891979019182,-20.836097880926673,0.6031704670214707
11,0.55,16.365479549704432,0.1406286312663813,9.696311818664185,0.08332044626308599,-30.905710857212508,0.4855391161694379
12,0.6,15.273068857765885,0.1410552578604679,9.049074157775099,0.08357321639877523,-36.299202507347644,0.38709548860343307
13,0.65,13.847573663187871,0.14139079138070879,8.204488708222206,0.08377201519522898,-40.86267374796514,0.26956648276915196
14,0.7,12.146968746635208,0.1416556404198723,7.1969046957179215,0.0839289344508367,-44.17647680781091,0.18828317802838881
15,0.75,10.253810616991624,0.14186591850083735,6.075235667241771,0.08405352119670473,-45.80071019402069,0.2491352997716886
16,0.8,8.279967256617136,0.1420343021260235,4.905761797242244,0.08415328607863215,-47.516188548390346,0.19142122769348738
17,0.85,6.370993968348241,0.14216945902702227,3.77472251419904,0.08423336460322095,-48.62303774640714,0.16492430270538933
18,0.9,4.7097235828920265,0.14227473741150637,2.790443646991215,0.08429574053547656,-49.86033979045337,0.15105242839586885
19,0.95,3.518317995281425,0.14234658212670429,2.0845529308111406,0.08433830749839179,-50.45806634425735,0.14779803765119642
20,1.0,3.0574722439281423,0.14237399393746203,1.811508435423365,0.08435454860295667,-50.624093730342814,0.1614337483463733
