,lambda,f,df,E,dE,F,dF
0,0.0,0.0,0.0,-2.9998540154432476,0.13375547094624213,0.0,0.0
1,0.005,-0.006215493305949948,0.0002673838731986534,-3.163300648818847,0.13141328058745883,-0.0036825906028765936,0.00015842110840333628
2,0.01,-0.012760492967989201,0.0005301557483466616,-3.3265940753803704,0.12922664249085347,-0.007560408993925847,0.0003141096741353559
3,0.015,-0.019634730806880718,0.0007885733069543329,-3.48977453521303,0.1271823204758604,-0.011633296280797692,0.00046721836979366074
4,0.02,-0.026838018325200608,0.0010428734062193788,-3.6528808186625383,0.12526847604155153,-0.015901140781473068,0.0006178875298694297
5,0.025,-0.034370243897376085,0.0012932741547838013,-3.8159503784293065,0.12347452769458199,-0.020363876359401713,0.0007662463806035909
6,0.03,-0.04223137017945433,0.0015399767756281086,-3.979019435417115,0.12179102105349664,-0.02502148088882741,0.0009124141437249159
7,0.035,-0.05042143172634184,0.0017831672766128802,-4.142123078654038,0.12020950968824676,-0.029873974843036447,0.0010565010262219272
8,0.04,-0.05894053280485423,0.0020230179475632312,-4.305295359590076,0.11872244644942573,-0.03492141999862105,0.0011986091073439636
9,0.045,-0.06778884539154717,0.0022596887012302953,-4.46856938107112,0.11732308488875794,-0.0401639182492229,0.0013388331331016176
10,0.05,-0.07696660734488248,0.0024933282739634534,-4.6319773812786025,0.11600539025723705,-0.04560161052256779,0.0014772612276478044
11,0.055,-0.08647412074186,0.0027240753005102797,-4.79555081291781,0.11476395949389206,-0.05123467579494389,0.001613975530081308
12,0.06,-0.09631175036979123,0.002952059276029982,-4.959320417920367,0.11359394956943569,-0.05706333019759922,0.0017490527644259415
13,0.065,-0.10647992236446235,0.0031774014171622447,-5.123316297926465,0.11249101353292575,-0.06308782620987284,0.0018825647498014824
14,0.07,-0.11697912298640212,0.0034002154328405666,-5.287567980795188,0.11145124360555098,-0.06930845193415108,0.0020145788571195146
15,0.075,-0.12780989752750038,0.0036206082144807036,-5.452104483380822,0.11047112068258158,-0.07572553044805475,0.002145158418010178
16,0.08,-0.13897284934066434,0.0038386804541999434,-5.6169543708062974,0.10954746962957895,-0.08233941922952435,0.002274363091108219
17,0.085,-0.1504686389856893,0.004054527198833778,-5.782145812451347,0.10867741979132338,-0.08915050965076081,0.002402249190299919
18,0.09,-0.16229798348491897,0.004268238346709365,-5.947706634866165,0.10785837017101348,-0.0961592265372148,0.0025288699790542435
19,0.095,-0.17446165568268945,0.004479899093399355,-6.113664371804703,0.1070879587762767,-0.10336602778806656,0.002654275934525588
20,0.1,-0.1869604837029506,0.004689590332019939,-6.28004631157097,0.10636403567149033,-0.11077140405487433,0.0027785149847246284
