,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.1800735893965335,0.0022080855885547447,0.10669101799259062,0.0013082590292511234
2,0.1,0.7646715960953863,0.005044769924840053,0.45305694905533084,0.0029889537972965586
3,0.15,1.787578673917297,0.008896802271141306,1.0591147158293555,0.005271227692899705
4,0.2,3.2016279717746503,0.014601970944177861,1.8969186358028263,0.008651458272995117
5,0.25,4.75067955694592,0.023216654067707575,2.814709473975237,0.013755534418825911
6,0.3,5.9729928954145155,0.032871644963664653,3.5389125890692865,0.01947597799331649
7,0.35,6.66995939029616,0.039706571530649146,3.9518552370991693,0.023525573915627884
8,0.4,6.989933333777438,0.04382383102009927,4.1414352075741645,0.02596499108802498
9,0.45,7.084314577465204,0.046558715597315,4.1973547402618845,0.027585370959461022
10,0.5,7.029543580266916,0.04861420830762336,4.164903710284985,0.028803220897778356
11,0.55,6.864034895776561,0.05026261775743384,4.066842189469705,0.029779879845146857
12,0.6,6.612805800359029,0.0516207244933424,3.91799255511033,0.030584538599838555
13,0.65,6.294855675672425,0.05276079110710849,3.7296116682331015,0.03126001171063562
14,0.7,5.924130499601809,0.05374141494160727,3.5099623206357804,0.031841017262427475
15,0.75,5.509815855681236,0.054605294780628165,3.2644868387660635,0.03235285367196032
16,0.8,5.057958737834019,0.05537904738620906,2.996767979760271,0.03281129098884003
17,0.85,4.573242419626997,0.05608346531553547,2.709580516010391,0.03322864850486405
18,0.9,4.059728272950148,0.056737758041901884,2.4053307520880187,0.03361630755733876
19,0.95,3.5213876162539712,0.05736412567598923,2.0863716371939582,0.03398742139331185
20,1.0,2.9625090833204553,0.05800001173594813,1.7552441253100295,0.03436417476004192
