,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,9281885283986070.0,8941268490266369.0
1,0.05,4.256593985049643,0.09438576791916169,2.521970861846034,0.05592221322990753,92069.88319382902,2605.4764654505034
2,0.1,7.924113364505266,0.11438406583187005,4.694923472014903,0.06777091780438872,8577.147258972249,189.21309408648594
3,0.15,10.695473093516057,0.12271999825980304,6.33691434753817,0.07270983816263832,2127.4909956263396,57.158663536628076
4,0.2,12.890733727629488,0.12779595756997877,7.637574775297327,0.07571727122323595,758.3565012954786,20.550892686145854
5,0.25,14.581715339384694,0.13098890489654638,8.639457117785845,0.0776090467013049,301.6392278687897,7.9400972949647
6,0.3,15.840003534372428,0.1331783348272712,9.38497481919445,0.07890625252096618,136.563931099968,4.364663112464794
7,0.35,16.702984745852905,0.13472713734047373,9.896278804803258,0.07982389578757083,61.85097486835657,2.8953202452582056
8,0.4,17.169314490329793,0.13591421191788383,10.172572487431552,0.08052722044234914,18.503455286527757,1.7688978829128994
9,0.45,17.229460834094507,0.13682707971571992,10.20820833312272,0.08106808151459287,-8.247520784630646,0.9791588933109588
10,0.5,16.88448049143354,0.13753576134723883,10.003812429929601,0.08148796521298966,-22.35653536516663,0.6120953400402895
11,0.55,16.145729682513142,0.13808486130264222,9.566113175359822,0.0818132990579916,-30.94909270413261,0.4295562035531345
12,0.6,15.038018563676363,0.13850779254943535,8.909810231066524,0.08206387975343091,-36.493930536737814,0.359648498330494
13,0.65,13.600630207615982,0.13883772019299256,8.058178253980325,0.0822593571483836,-40.67528747814906,0.2576937600175119
14,0.7,11.89077774324539,0.1391000092334318,7.045115202079223,0.08241475964147846,-43.93964444376681,0.2220902798864781
15,0.75,9.989747870179134,0.1393108325647123,5.918782278570181,0.08253966944033506,-46.039368269251945,0.1860788308803498
16,0.8,8.00871403488878,0.13948111531790255,4.745048155353094,0.08264055952835592,-47.79893810315617,0.18704709450401388
17,0.85,6.09320159510798,0.13961830351295987,3.6101345188638856,0.08272184156552907,-49.07314829259619,0.17234117698085374
18,0.9,4.426409926580889,0.1397253031174914,2.622584370656825,0.08278523729596644,-50.02409342877152,0.16416162607204818
19,0.95,3.231098462709812,0.13979839670251726,1.9143794788345605,0.08282854419633574,-50.602181262626345,0.14268678024684625
20,1.0,2.7687484729964273,0.13982631104360382,1.6404437438014785,0.08284508304291006,-50.961835704884344,0.1749111866767161
