,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.06999748776577697,0.0011992101385433433,0.04147250716599764,0.0007105148006267705
2,0.1,0.2931905668709174,0.0027526000944715755,0.17371120412555657,0.001630876061225039
3,0.15,0.6862811607655939,0.004829663829165721,0.4066117408810171,0.002861506521986413
4,0.2,1.2471580338787565,0.00772677989377417,0.73892324064888,0.004578006221979141
5,0.25,1.9265292404674597,0.01183131955136743,1.1414409328252246,0.007009887076507242
6,0.3,2.601970636149007,0.017069519884599284,1.541630268424639,0.010113445615405297
7,0.35,3.134084652547701,0.02213489831006937,1.8569001882832787,0.013114609653631065
8,0.4,3.486687498359439,0.025836646206901723,2.065812315224327,0.015307842169229367
9,0.45,3.7054625620342883,0.028351726478604965,2.1954334014318353,0.01679799114343683
10,0.5,3.8333655629695222,0.030177236291118237,2.2712140943131094,0.017879579514642217
11,0.55,3.8948822213174985,0.0315939440410191,2.307661831733366,0.018718958529307567
12,0.6,3.904693815328068,0.03274019923121892,2.3134750604062977,0.019398098282846925
13,0.65,3.872799740263119,0.0336941775650853,2.29457827855164,0.019963316757828017
14,0.7,3.806566087133973,0.03450552222218329,2.2553357894037407,0.020444026825854795
15,0.75,3.7117516097981813,0.03520818851557178,2.1991595719956716,0.02086034652271836
16,0.8,3.593013295544422,0.03582611075795862,2.128808824476771,0.02122645658528473
17,0.85,3.45424577708936,0.03637863830291151,2.0465910608508455,0.02155382122791514
18,0.9,3.298735543506723,0.036885330546806296,1.9544534787390042,0.021854029112320896
19,0.95,3.129102659069913,0.03736749162595742,1.853948428630134,0.02213970263359314
20,1.0,2.9473096249466835,0.037848576456216435,1.7462386643078458,0.022424738492839
