,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.0694243988842782,0.001198984242925345,0.04113296022648117,0.0007103809607142931
2,0.1,0.29208139650241094,0.0027474248893754752,0.17305403659677154,0.0016278098264602755
3,0.15,0.6846588752322837,0.0048190300487008595,0.4056505599793449,0.002855206159636177
4,0.2,1.2448312855334702,0.007719698234021109,0.7375446756388578,0.004573810440184246
5,0.25,1.9226648953701098,0.011842180738581985,1.1391513638012905,0.007016322174093802
6,0.3,2.595332546557925,0.017085076303268738,1.5376972955863013,0.010122662570260949
7,0.35,3.12525121541832,0.02211809909115272,1.851666503527699,0.013104656357460847
8,0.4,3.4780094723028334,0.025796311637061205,2.060670709299503,0.015283944515325764
9,0.45,3.6979211529150113,0.02831142129174287,2.1909652247340157,0.01677411089852635
10,0.5,3.8264331358962913,0.030144984616890087,2.2671067307398,0.017860470860414254
11,0.55,3.887768982583747,0.03157084914470511,2.3034473398455133,0.01870527513461082
12,0.6,3.8971101800936054,0.0327213036923919,2.308981865341098,0.019386902947208153
13,0.65,3.8653762011723707,0.03367203745576554,2.290179938154506,0.019950199060725912
14,0.7,3.800710976741156,0.034475438267305245,2.2518667205060634,0.020426202514238982
15,0.75,3.709120711451039,0.03516951276084093,2.197600802473543,0.02083743169296629
16,0.8,3.5950602057638257,0.03578238739200819,2.13002158941237,0.021200551118308996
17,0.85,3.461901319949801,0.03633623203575808,2.0511268601526953,0.02152869612307868
18,0.9,3.312211887629937,0.03685002641533401,1.9624380192712532,0.021833111920972932
19,0.95,3.147994361493229,0.037342648548538256,1.8651414912547604,0.02212498346667476
20,1.0,2.9708924378300043,0.03783581799997954,1.7602111425712168,0.02241717929057902
