,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,3.9409607973112413e+21,3.702039095568397e+21
1,0.05,8.264383690856835,0.2971815463588731,4.896528758124776,0.17607580220895402,168120.79289300257,4319.1471080589345
2,0.1,14.841002318243884,0.3214093486864948,8.793080932468593,0.190430427463661,13557.161048751846,327.97337640011074
3,0.15,19.059343718584262,0.32678411891362014,11.292387686728633,0.19361490170516413,3108.1347998963292,68.88069721785244
4,0.2,22.281892295539706,0.32978572139892226,13.201701480928866,0.19539330811022987,1115.5592854545084,24.90973068429219
5,0.25,24.722396696324036,0.3317730715168614,14.647665321643478,0.19657078454028934,417.9200167137863,11.129401393250424
6,0.3,26.45766497522596,0.3331003451992897,15.675786878984196,0.1973571751531916,183.37914049214837,5.523550595135549
7,0.35,27.551487723476463,0.3340578901468054,16.323861162977703,0.19792450679558554,68.35451021805912,3.364579202174396
8,0.4,27.988873431908512,0.33478317934631363,16.583005919543123,0.19835423023972795,7.775182086152224,2.2779550188446134
9,0.45,27.765450338513944,0.3353285027401178,16.45063094241736,0.19867732652616904,-28.309058589267597,1.1003845771460858
10,0.5,26.884153675278764,0.3357492292642529,15.928475314436943,0.19892660095506717,-47.59178044867256,0.8362826817416301
11,0.55,25.357568538036865,0.33607704144793565,15.023995524310472,0.19912082497039724,-61.07887304971516,0.6488714173211168
12,0.6,23.21742449073099,0.33633671388791536,13.75599088341313,0.19927467716526323,-68.70783925061482,0.4551042032992735
13,0.65,20.5210824414814,0.33654631738086216,12.158446906782627,0.19939886422740954,-76.59797187910041,0.4434592882648321
14,0.7,17.36179234502204,0.3367167129039435,10.286612854633457,0.19949982112997283,-80.44972072148195,0.29173490820061765
15,0.75,13.879108332414644,0.3368547759648212,8.223172547274558,0.19958162151259184,-84.27620954442186,0.3645389413052554
16,0.8,10.267866439729175,0.33696614243115486,6.083563540538563,0.19964760454599054,-87.15389071238035,0.28616509211465835
17,0.85,6.785984914658982,0.33705561812763807,4.020598695531236,0.19970061761234514,-90.25595849324625,0.34022631050755053
18,0.9,3.7608740876310787,0.3371257336246313,2.228263935294442,0.19974216003828518,-90.32213407197618,0.32776308618963174
19,0.95,1.593118106594007,0.3371743559163123,0.9438996198418375,0.1997709680484657,-91.75330298833016,0.2544822214252583
20,1.0,0.7548792798235233,0.3371932103516323,0.4472551421659826,0.19978213903086633,-91.57432194579484,0.2882755896446658
