,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,4.7510823367124805e+20,4.8067926091312195e+20
1,0.05,8.178542620816188,0.2579578554154841,4.845669155787188,0.15283632811282935,172770.61479164063,4408.682577308669
2,0.1,14.972315784278429,0.2837853594111139,8.870882276987306,0.16813875365305403,14614.989320605142,366.5559231711186
3,0.15,19.50038559979453,0.29026679566660507,11.553698673205789,0.17197891163774154,3364.4005292676948,86.82656223352309
4,0.2,22.82098274742763,0.29396027949260395,13.521104838715857,0.17416724780994522,1084.0929917527935,30.934397102489488
5,0.25,25.2335584764467,0.2962444035713711,14.95052134213463,0.1755205585536347,422.7496931642595,11.742576273072665
6,0.3,26.956264785724986,0.29767965428846926,15.971200112714506,0.17637092401030696,190.0150629210884,6.041732490438677
7,0.35,28.063101561276813,0.2987426551784678,16.62698502115669,0.1770007367855232,71.8643520472844,3.2642432403672585
8,0.4,28.513299504879278,0.2995607267808621,16.893720843228564,0.17748543247211873,8.397278295623563,1.9929533008878373
9,0.45,28.306134791278918,0.3001665370960628,16.77097872285302,0.17784436639161116,-26.991816487130563,1.174494639969099
10,0.5,27.447501725727857,0.3006359487917353,16.262250951319494,0.17812248608610254,-46.82883022797607,0.734923410788538
11,0.55,25.945311364966173,0.301006339462123,15.372224716237369,0.1783419372438823,-60.35816775662605,0.5576510168599641
12,0.6,23.829359638980566,0.3013000884321585,14.118553678606965,0.1785159792938708,-68.57522329262272,0.4580483619509723
13,0.65,21.15700361920928,0.3015371853859231,12.535221080286943,0.17865645583707107,-75.14237345478118,0.413649016903269
14,0.7,18.021256695393266,0.3017297073056341,10.677336020127724,0.1787705223121643,-79.16289822840628,0.3439464847783496
15,0.75,14.561078578940663,0.30188551930724045,8.627230133322318,0.1788628386875004,-83.81718877635471,0.37526720782748557
16,0.8,10.970398998863057,0.3020114058025944,6.499804001775111,0.1789374246297579,-86.29962385258986,0.2999759992378027
17,0.85,7.506194486691089,0.30211278877671455,4.447312533277354,0.17899749258726486,-89.10015498531641,0.2545873510697961
18,0.9,4.495056236958262,0.30219227647295804,2.663256324607104,0.17904458790678687,-90.3914155493012,0.2652534567590733
19,0.95,2.336676460995757,0.3022473309710994,1.38444727612988,0.17907720690700482,-91.73959322123692,0.22826503395439213
20,1.0,1.5019443266280215,0.3022686518056114,0.8898804633880665,0.17908983919553842,-91.9689874540269,0.2524094865025563
