,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,1.3607525579189532e+18,9.733299174628992e+17
1,0.05,8.406477112999855,0.31217054769866004,4.980717071965215,0.1849565704381731,173814.43613643767,3457.740606352129
2,0.1,15.099636216905255,0.3324441409719543,8.946317806504632,0.19696838356381927,14503.298798680262,388.5389853022285
3,0.15,19.464990309541726,0.3380351154188133,11.532727471588327,0.2002809557033816,3220.550694724333,67.32547639007252
4,0.2,22.722952639516443,0.34097083444670345,13.463023406330251,0.20202032710523724,1097.486187015225,21.804835321476205
5,0.25,25.24055487003846,0.3428818336992498,14.954666604952365,0.20315256674304596,462.8474151843235,11.21216562363729
6,0.3,27.04705407611609,0.3442444868273773,16.024991464611876,0.203959919169895,182.04935095942216,5.421041473403973
7,0.35,28.180660068193816,0.34519173799516495,16.696636749756628,0.2045211518954969,80.02531824470823,3.2829098269412373
8,0.4,28.67081824211739,0.34589517206969145,16.987048434937943,0.2049379264916685,8.364294075028777,1.9228776834839338
9,0.45,28.499990688563884,0.3464424146582782,16.885835560518732,0.20526215987348137,-24.8296609546965,1.1975815414721183
10,0.5,27.664313204066147,0.3468634083250538,16.39070864138893,0.205511592580561,-46.04439018509788,0.9351072165849791
11,0.55,26.176726728335396,0.3471946183125378,15.50933499864874,0.20570782974589102,-59.97305709185837,0.530185157729295
12,0.6,24.069561641734097,0.3474557539096717,14.26086991878142,0.20586254884037727,-68.49599794017807,0.461959189006714
13,0.65,21.403543237790522,0.3476634297724881,12.681292266906185,0.20598559380932926,-75.32141268464804,0.4135566516214554
14,0.7,18.273816799920866,0.347831135186073,10.826974258287281,0.20608495686061404,-79.91496071710348,0.3404861973711833
15,0.75,14.819948711985123,0.3479666110429911,8.78060697284081,0.2061652243620086,-83.98866854624899,0.3375624986487436
16,0.8,11.235995524479607,0.3480755828170273,6.657166132381201,0.2062297885745805,-86.20310507620037,0.26470815018029625
17,0.85,7.778606768903089,0.3481630057328731,4.608712901872676,0.20628158539786107,-88.93660677975645,0.27314227753717363
18,0.9,4.77355734274763,0.34823154700933034,2.8282642338085955,0.20632219512072072,-89.82111569697517,0.2928325194833112
19,0.95,2.619539558896646,0.34827915372780666,1.5520396030708825,0.20635040141834907,-91.29653816964127,0.27318085456349195
20,1.0,1.7864771935734094,0.34829763752968834,1.0584621045298193,0.2063613528057554,-91.55399655989238,0.23971007931855412
