,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,0.7421413232385384,0.1949287795049595
1,0.1,-0.011760814412272502,0.0035537675268181457,-0.006968113793212585,0.0021055562696110615,-1.2118142793738935,0.20247522471509555
2,0.2,-0.11650092022665515,0.006715028162936457,-0.06902512366033119,0.003978557838234539,-3.9317778094552294,0.229154035223802
3,0.3,-0.3274028699782958,0.009714217680365346,-0.19398150283304455,0.0057555345944570405,-6.459980977023361,0.27963070927115186
4,0.4,-0.6657029751949564,0.012741010713147819,-0.39441946118953436,0.007548866037466857,-11.049033509086394,0.37290927061861384
5,0.5,-1.16446266401209,0.015974630309136744,-0.6899274205293624,0.009464739251595666,-14.358777665520597,0.39735765765899733
6,0.6,-1.87199784173667,0.019572496659046222,-1.1091318615025212,0.011596423441151327,-19.752533655495156,0.4371373533367489
7,0.7,-2.8505381733844404,0.023579500521638017,-1.6889029677495855,0.013970515736600351,-28.87956888416992,0.5460518246691753
8,0.8,-4.164046836505626,0.027834953985948502,-2.4671380042150926,0.01649181085627281,-37.312837426427805,0.6376748122132303
9,0.9,-5.85759936606854,0.03211205297155085,-3.4705435786167356,0.01902593063673727,-46.77247954470788,0.6237765887581042
10,1.0,-7.947639029642072,0.036604019182879644,-4.708862091058429,0.0216873561654951,-56.66582436644203,0.572784262560508
