,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,0.8276781006373448,0.2166647503374768
1,0.1,-0.020428788529508246,0.003669856700557977,-0.012103764088186442,0.0021743374393857545,-1.4994408232798242,0.19643101307616195
2,0.2,-0.13742126634584562,0.006889400851378958,-0.08142012856745691,0.00408187115420931,-4.125483681159972,0.20099834452334653
3,0.3,-0.36415284431589523,0.009927799054759217,-0.21575533533352306,0.005882078494285459,-6.844771003018136,0.2647264299820431
4,0.4,-0.7224422377876705,0.012998006756368417,-0.4280366601716419,0.0077011325056544535,-10.809096976299706,0.3087914762714595
5,0.5,-1.2459061761897745,0.016282015001205997,-0.738181532930014,0.009646860271241644,-15.105343031103594,0.40419119830928496
6,0.6,-1.9821739089568773,0.01990764839320858,-1.1744096005065414,0.011794996034831478,-22.04946699206957,0.490260421540596
7,0.7,-2.991063525569513,0.023881753186315496,-1.772162222638861,0.014149596103651858,-29.317836313445046,0.5382455880305376
8,0.8,-4.33441957385454,0.028073158379125787,-2.568081406558856,0.016632943541435363,-37.66800277759429,0.4992759333808813
9,0.9,-6.057428171541027,0.032316055721397674,-3.5889392786833074,0.019146799338957212,-48.53063472024903,0.5722343502890908
10,1.0,-8.17758918611738,0.03679146550296484,-4.845104259408179,0.021798415420635597,-56.68607028610453,0.5520109854220275
