,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.04565013001872842,0.0007896779682518642,0.027047047040680654,0.0004678728657625899
2,0.1,0.196588858657897,0.001765167972503438,0.1164760780662059,0.0010458366967939963
3,0.15,0.47178556739900657,0.002990018532990454,0.27952617942862507,0.0017715430795294902
4,0.2,0.8882711512542123,0.004587487880414503,0.5262879120606163,0.0027180207471308236
5,0.25,1.4513600023004436,0.00681615146185398,0.8599099770160069,0.004038471941909796
6,0.3,2.13044351751973,0.010157482279912535,1.262257216183814,0.006018162509656902
7,0.35,2.821659398998511,0.014972943580596938,1.6717927082832271,0.0088712542372983
8,0.4,3.3698887316365216,0.0201502914117834,1.9966107217885098,0.011938758541855958
9,0.45,3.7160489579449667,0.023802991307801013,2.201705689113599,0.01410293082072014
10,0.5,3.9230128902673034,0.02597007116601998,2.324328849462758,0.015386894543104138
11,0.55,4.051046407123147,0.027425165975748005,2.4001868711543297,0.016249017339933367
12,0.6,4.126614402271741,0.028533689481274164,2.44495982401811,0.01690580161168387
13,0.65,4.161983040461054,0.029424780124334766,2.465915234670362,0.01743376003218525
14,0.7,4.1651533881814835,0.03016191838577057,2.467793620206057,0.0178705038755075
15,0.75,4.142128661226067,0.030787788168325624,2.4541517998474625,0.018241322741590953
16,0.8,4.0974131603084345,0.03133341932515421,2.4276585071389722,0.018564601373208194
17,0.85,4.034386106209295,0.03182168106292214,2.390315881907553,0.018853889447177658
18,0.9,3.955676813658439,0.03227090892993192,2.3436817554047735,0.019120050512787184
19,0.95,3.8634153223876844,0.032697904934260454,2.289018145609584,0.01937303951874442
20,1.0,3.7593502325820403,0.03311946780223602,2.2273610730424043,0.019622809469368035
