,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.04583340176286832,0.0007839654779396688,0.02715563291947105,0.0004644882972163449
2,0.1,0.19728974280737432,0.0017501127806130161,0.11689134186837258,0.0010369167116132387
3,0.15,0.47365691921425324,0.002960318744327077,0.2806349285287016,0.0017539463808837893
4,0.2,0.8925870613484772,0.004534803935500782,0.5288450268660952,0.002686806265687169
5,0.25,1.4606051019661788,0.006727999184934521,0.8653875659177763,0.003986242982658079
6,0.3,2.14912293394627,0.01002549187193508,1.2733245024012643,0.005939960086749887
7,0.35,2.8555272217144463,0.014836266647200764,1.6918589073014452,0.008790275115323714
8,0.4,3.419946212694608,0.020110348607586565,2.026269061082628,0.01191509300347512
9,0.45,3.775161817587019,0.023885379975643772,2.2367292102906866,0.014151744924291105
10,0.5,3.9830780495941074,0.026123353078157073,2.3599165945393117,0.015477711876731809
11,0.55,4.107151454693408,0.027601957550156556,2.433428306835453,0.01635376381113646
12,0.6,4.176764384149397,0.02870709736387058,2.474672968720606,0.017008543294038024
13,0.65,4.2059331215158995,0.029585180263927865,2.4919550270925184,0.01752879481344713
14,0.7,4.203367799897094,0.030307677955276568,2.490435110841024,0.017956864329058027
15,0.75,4.175329276034503,0.030918791013519478,2.4738226877536937,0.018318940047718394
16,0.8,4.126536964298527,0.03144963898039287,2.444913943130073,0.018633459851398776
17,0.85,4.060581362488019,0.03192350809406714,2.405836195398942,0.018914220502100433
18,0.9,3.980224881190825,0.03235893395905507,2.3582261331980865,0.01917220407954536
19,0.95,3.887658359697399,0.03277246942842086,2.303381797372587,0.019417217911671093
20,1.0,3.7846674613375004,0.03318082667985985,2.24236116782434,0.0196591637239731
